Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,Rwanda,RWA,,13461888.0,-6112.0,11096904.0,2364984.0
2021,YR2021,Samoa,WSM,,218764.0,-882.0,179951.0,38813.0
2021,YR2021,San Marino,SMR,,33745.0,41.0,803.0,32942.0
2021,YR2021,Sao Tome and Principe,STP,,223107.0,-792.0,55614.0,167493.0
2021,YR2021,Saudi Arabia,SAU,,35950396.0,-153883.0,5569435.0,30380961.0
2021,YR2021,Senegal,SEN,,16876720.0,-10091.0,8674634.0,8202086.0
2021,YR2021,Serbia,SRB,,6834326.0,243.0,2962612.0,3871714.0
2021,YR2021,Seychelles,SYC,,99258.0,146.0,41716.0,57542.0
2021,YR2021,Sierra Leone,SLE,,8420641.0,-1544.0,4768441.0,3652200.0
2021,YR2021,Singapore,SGP,,5453566.0,19321.0,0.0,5453566.0
2021,YR2021,Sint Maarten (Dutch part),SXM,,42668.0,212.0,0.0,42668.0
2021,YR2021,Slovak Republic,SVK,,5447247.0,1746.0,2515539.0,2931708.0
2021,YR2021,Slovenia,SVN,,2108079.0,4568.0,939634.0,1168445.0
2021,YR2021,Solomon Islands,SLB,,707851.0,-808.0,529982.0,177869.0
2021,YR2021,Somalia,SOM,,17065581.0,-17071.0,9090664.0,7974917.0
2021,YR2021,South Africa,ZAF,,59392255.0,10934.0,19096392.0,40295863.0
2021,YR2021,South Sudan,SSD,,10748272.0,-31885.0,8543371.0,2204901.0
2021,YR2021,Spain,ESP,,47415794.0,275022.0,8982448.0,38433346.0
2021,YR2021,Sri Lanka,LKA,,22156000.0,-92400.0,17977378.0,4178622.0
2021,YR2021,St. Kitts and Nevis,KNA,,47606.0,-90.0,32893.0,14713.0
2021,YR2021,St. Lucia,LCA,,179651.0,0.0,145625.0,34026.0
2021,YR2021,St. Martin (French part),MAF,,31948.0,-948.0,,
2021,YR2021,St. Vincent and the Grenadines,VCT,,104332.0,-379.0,48564.0,55768.0
2021,YR2021,Sudan,SDN,,45657202.0,-15223.0,29406434.0,16250768.0
2021,YR2021,Suriname,SUR,,612985.0,-492.0,207072.0,405913.0
2021,YR2021,Sweden,SWE,,10415811.0,80097.0,1225108.0,9190703.0
2021,YR2021,Switzerland,CHE,,8704546.0,23872.0,2263530.0,6441016.0
2021,YR2021,Syrian Arab Republic,SYR,,21324367.0,212187.0,9356279.0,11968088.0
